metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,17,58.335577405785585,37.74678840785322,84.11977842447769,-82.10073226192877,230.80725273246378
branch_mpki,branch_predictor,17,97.59016403682448,-25.570124097084435,166.08247428403055,-99.15681271916668,612.1703394877903
branch_miss_rate,branch_predictor,16,56.13156404096342,-20.29738783244807,64.03560730612158,-98.43364786762211,98.79878302292062
l1d_mpki,l1d_cache,17,84.2924621187104,-82.11970137875761,28.354430441975122,-99.99694146870412,18.468466289598705
l1d_miss_rate,l1d_cache,17,80.67921102631053,-70.17892284378922,45.789721225700944,-99.99497323579601,89.25244955143087
l1i_mpki,l1i_cache,17,189.43848095205297,50.74932157402458,500.74233910602226,-99.98537441288308,1987.8173985411465
l1i_miss_rate,l1i_cache,16,93.78292325673817,-93.78292325673817,13.316082725502023,-99.97970750494983,-55.28685645390211
l3_mpki,l3_cache,17,110.34371467542893,-59.31639483393741,127.75443073507144,-99.99688133570947,433.73221865267783
l3_miss_rate,l3_cache,17,823.2043069294076,814.6919464079083,761.2608557594776,-72.35506443274443,2366.29325865173
dtlb_mpki,dtlb,17,614.5331160305661,494.05029437589707,1737.1047623053405,-99.47462232834438,7029.534103463364
itlb_mpki,itlb,17,100.0,-100.0,0.0,-100.0,-100.0
