benchmark,ipc_hw,ipc_gem5,ipc_abs_err,ipc_pct_err,ipc_abs_pct_err,branch_mpki_hw,branch_mpki_gem5,branch_mpki_abs_err,branch_mpki_pct_err,branch_mpki_abs_pct_err,l1d_mpki_hw,l1d_mpki_gem5,l1d_mpki_abs_err,l1d_mpki_pct_err,l1d_mpki_abs_pct_err,l1i_mpki_hw,l1i_mpki_gem5,l1i_mpki_abs_err,l1i_mpki_pct_err,l1i_mpki_abs_pct_err,l3_mpki_hw,l3_mpki_gem5,l3_mpki_abs_err,l3_mpki_pct_err,l3_mpki_abs_pct_err,dtlb_mpki_hw,dtlb_mpki_gem5,dtlb_mpki_abs_err,dtlb_mpki_pct_err,dtlb_mpki_abs_pct_err,itlb_mpki_hw,itlb_mpki_gem5,itlb_mpki_abs_err,itlb_mpki_pct_err,itlb_mpki_abs_pct_err
bitcount,3.913000013722363,2.0632363724670304,1.8497636412553327,-47.27226258033379,47.27226258033379,0.454819461091149,0.0938604936071987,0.3609589674839503,-79.36313160786486,79.36313160786486,0.04195152748311824,0.0030769546079896953,0.03887457287512855,-92.66545274369832,92.66545274369832,0.008269920576834289,0.011719183637386839,0.00344926306055255,41.708539138992826,41.708539138992826,0.2132383318355879,0.010943255953632916,0.202295075881955,-94.86806342019669,94.86806342019669,0.007066071378940689,0.001444830859403857,0.0056212405195368315,-79.55255782286677,79.55255782286677,0.008793333271570636,0.0009632205729359046,0.007830112698634732,-89.04601311939292,89.04601311939292
crc_large,2.839834669062895,0.8518725177349225,1.9879621513279726,-70.00274251824567,70.00274251824567,0.012563058772540095,0.00581519527486308,0.006747863497677015,-53.7119472243994,53.7119472243994,0.04732706110919063,8.131979693729763e-05,0.047245741312253335,-99.82817484324733,99.82817484324733,0.0015352671926921072,0.000577536517024073,0.0009577306756680342,-62.38201924895193,62.38201924895193,0.437312693523492,0.00048625919393118785,0.4368264343295608,-99.88880743661628,99.88880743661628,0.003924730919190568,3.6510929237154035e-05,0.0038882199899534136,-99.06972146654364,99.06972146654364,0.0012853779581369026,2.8212990774164483e-05,0.0012571649673627382,-97.80508210868516,97.80508210868516
fft_large,2.9861938296488058,1.3433728793956312,1.6428209502531745,-55.01387531988773,55.01387531988773,2.7184529903118344,3.0896390357065227,0.37118604539468825,13.654311724997289,13.654311724997289,0.5677774861523514,0.21647719318372913,0.3513002929686222,-61.87288181313304,61.87288181313304,0.02776238355270458,0.0019356131353529737,0.025826770417351607,-93.02792884595671,93.02792884595671,2.1662661562959107,0.02587492041856906,2.140391235877342,-98.80555210894249,98.80555210894249,0.1683553784126998,0.0010138925947087004,0.1673414858179911,-99.39776643652971,99.39776643652971,0.0006943709659323824,0.00019705749489636184,0.0004973134710360206,-71.62071794984136,71.62071794984136
gsm_large,2.8686017930580605,1.5387534683391924,1.3298483247188682,-46.35876362962142,46.35876362962142,1.899144176599529,1.676806096452707,0.222338080146822,-11.707277566726113,11.707277566726113,0.024927955129034337,1.5759926291306803e-05,0.02491219520274303,-99.93677810229627,99.93677810229627,0.031077303718217444,0.12755898929286183,0.09648168557464439,310.45706683391273,310.45706683391273,0.15161261644064036,0.00019004616998340558,0.15142257027065695,-99.87465016141462,99.87465016141462,0.001177163639141816,1.5759926291306803e-05,0.0011614037128505092,-98.66119494628663,98.66119494628663,0.0009274066111803699,8.343490389515367e-06,0.0009190631207908544,-99.10034171754543,99.10034171754543
qsort_large,3.1384517763493003,1.2777572856949173,1.860694490654383,-59.287018671950854,59.287018671950854,1.9581850251256212,1.7434697100734164,0.21471531505220476,-10.965016701546391,10.965016701546391,2.027162249104605,0.9473617734476705,1.0798004756569346,-53.26660340749149,53.26660340749149,0.3397399539710937,0.0017068174900022456,0.33803313648109146,-99.49761060774517,99.49761060774517,12.612215868088956,0.13028588557780135,12.481929982511154,-98.96698655541213,98.96698655541213,0.019065614717786533,0.006110477583750243,0.012955137134036291,-67.95027239247781,67.95027239247781,0.0019875085261360126,0.0003016205543663012,0.0016858879717697114,-84.82418815316014,84.82418815316014
rijndael_large,3.6529926576519003,1.5601566541419227,2.0928360035099773,-57.2909994529041,57.2909994529041,0.02294399375993502,0.0007574595257940798,0.02218653423414094,-96.69865877004918,96.69865877004918,0.6560150981706575,0.06287419037108058,0.593140907799577,-90.41574034707288,90.41574034707288,0.011425729008874456,0.0008837027800930931,0.010542026228781363,-92.26567705739639,92.26567705739639,0.6533072101361587,0.0006160670809791849,0.6526911430551795,-99.9057002476904,99.9057002476904,0.0425177383834075,8.07956827513685e-05,0.04243694270065613,-99.80997182394137,99.80997182394137,0.2794628117042733,6.0596762063526385e-05,0.27940221494220974,-99.97831669920802,99.97831669920802
sha_large,1.9610415091666709,2.0621117461001703,0.10107023693349948,5.153906047427241,5.153906047427241,0.08783872060568813,0.0032357228735869327,0.0846029977321012,-96.31629098047519,96.31629098047519,0.1247460872649146,0.0008882376515728835,0.12385784961334172,-99.28796351769607,99.28796351769607,0.009029921171630323,0.003634523451844146,0.0053953977197861765,-59.750219489591124,59.750219489591124,0.15279406183938504,0.002528758212130964,0.15026530362725407,-98.34498920855368,98.34498920855368,0.0031750891889455544,0.000435055176280596,0.002740034012664958,-86.2978596697286,86.2978596697286,0.004758573567064181,0.000398800578257213,0.004359772988806967,-91.61932514782461,91.61932514782461
susan_large,3.970312345264581,1.4516417479608053,2.518670597303776,-63.437593274186895,63.437593274186895,0.30424463303780264,0.0025498764899857156,0.3016947565478169,-99.16189927016103,99.16189927016103,0.05129912266043749,0.0010951219283607792,0.05020400073207671,-97.86522288965898,97.86522288965898,0.0008232122724225611,0.0005137609046630816,0.00030945136775947953,-37.590713613734344,37.590713613734344,0.04858306374846437,0.0009220656236321623,0.04766099812483221,-98.10208423987812,98.10208423987812,0.001928049795937051,0.000202800357103848,0.001725249438833203,-89.481580946135,89.481580946135,0.002049906875736443,7.841613808015456e-05,0.0019714907376562887,-96.17464876047195,96.17464876047195
