component,avg_mape,max_mape,num_metrics
l1i_cache,99.58497185453515,99.58497185453515,1
l3_cache,98.59460417233805,98.59460417233805,1
itlb,91.27107920701619,91.27107920701619,1
dtlb,90.02761568806369,90.02761568806369,1
l1d_cache,86.8923522080368,86.8923522080368,1
branch_predictor,57.69731673077743,57.69731673077743,1
pipeline,50.47714518681971,50.47714518681971,1
