metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,8,50.47714518681971,-49.1886686749629,23.30729926649176,-70.00274251824567,5.153906047427241
branch_mpki,branch_predictor,8,57.69731673077743,-54.28373879952811,45.534850859849705,-99.16189927016103,13.654311724997289
l1d_mpki,l1d_cache,8,86.8923522080368,-86.8923522080368,18.570158318842797,-99.93677810229627,-53.26660340749149
l1i_mpki,l1i_cache,8,99.58497185453515,-11.54357036130876,137.83984105798444,-99.49761060774517,310.45706683391273
l3_mpki,l3_cache,8,98.59460417233805,-98.59460417233805,1.6650872952144096,-99.9057002476904,-94.86806342019669
dtlb_mpki,dtlb,8,90.02761568806369,-90.02761568806369,11.656621309682652,-99.80997182394137,-67.95027239247781
itlb_mpki,itlb,8,91.27107920701619,-91.27107920701619,9.536567371485356,-99.97831669920802,-71.62071794984136
