benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:u,branches:u,cpu-cycles:u,dTLB-load-misses,dTLB-loads,iTLB-load-hits,iTLB-load-misses,instructions:u,l3_cache_accesses,l3_misses
bitcount,3,1603,2417799,316,10545,17379,8624763,9765082,270,1652986,6819034,336,38210766,77360,8148
crc_large,3,28977,186385871,940,146276,7692,133445112,215601028,2403,274066579,163402021,787,612271274,1203950,267754
fft_large,3,182344,101592097,8916,7352184,873042,63590353,107546261,54068,174233573,98447816,223,321153981,2129844,695705
gsm_large,3,27148,320635026,33845,15808360,2068279,58250106,379647829,1282,378772579,147163272,1010,1089058443,676200,165115
qsort_large,3,588512,80601244,98631,8227228,568487,71486011,92502049,5535,186737335,117868371,577,290313220,6105473,3661493
rijndael_large,3,134697,76334671,2346,226840,4711,13848492,56207632,8730,93770005,28322444,57381,205326067,1379058,134141
sha_large,3,15362,11270442,1112,161125,10817,5188067,62796298,391,17371397,12767137,586,123146147,299057,18816
susan_large,3,18944,78928603,304,273735,112353,27420513,93011591,712,82902791,54125480,757,369285068,213209,17941
