benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:uk,branches:uk,cpu-cycles:uk,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions:uk,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
basicmath_large,3,16079764,1166369703,6935018,423643242,6996656,897400293,4908467772,5137,255133,89526,72,3846071175,53816023,34828640,0.013786163991264097,0.016369948372739532
basicmath_small,3,513479,40939493,295908,15649666,292361,28435589,174200345,617,72649,1369,96,123987752,2116123,1210686,0.012542387860054837,0.01890826296228942
bitcount,3,10501,2606863,1531,36108,20802,8708801,10045829,291,3272,324,92,41970520,66243,6128,0.004028213220257451,0.042400576049628894
crc_large,3,714029,192749321,7636,1553722,45407,135872617,227967170,7373,23285,351,348,624400173,1240728,286934,0.003704443659233435,0.004914650111152445
crc_small,3,44661,10160951,1744,123829,7499,7238913,12375758,425,5044,438,179,32467411,123290,4999,0.004395356300802946,0.01408393833431587
dijkstra_large,3,561206,58598720,5691,494027,263379,44467544,79731321,516,6771,931,325,196689333,192319,45859,0.009577103390654268,0.011519613300487626
dijkstra_small,3,119098,13774328,2463,124066,56855,9844410,17531029,527,4630,472,322,45593170,82684,12240,0.008646374618057593,0.019852336659519933
fft_large,3,451952,122884447,25473,8276577,1265808,80918460,225746725,1296,63897,3083,60,387487358,2502493,929470,0.0036778616906661915,0.0030777216233232652
fft_small,3,53968,14557595,4538,1182242,125096,9479755,27154517,130,2728,623,108,40150674,237570,120571,0.0037072057575444294,0.003838469619587191
gsm_large,3,157981,324201578,49066,16503324,2200152,61204649,391950414,691,18331,422,292,1095177145,783413,178619,0.0004872925078729876,0.0029730980255856334
gsm_small,3,15266,6243314,3044,378665,49684,1306828,8088214,373,3099,335,399,20399547,77079,9214,0.0024451757512116163,0.008038767776266621
qsort_large,3,2292534,137363096,119645,26778184,1119438,114192949,447656567,4611,29763,4513,304,465055839,5038295,2846100,0.016689591795455747,0.004468002759261046
qsort_small,3,13012,225518,1386,,3358,,588697,288,2711,323,204,597867,80201,6312,0.057698276855949415,
sha_large,3,130396,13054064,7601,329148,30905,5492432,64194807,2105,11830,604,590,125378370,288260,17426,0.009988919925626226,0.023092955144798085
sha_small,3,44850,2375210,4756,154087,21961,1046176,8075316,748,13275,345,515,15313721,138763,7567,0.018882540912171977,0.03086567977830706
susan_large,3,43415,79687617,2995,452633,121115,27356229,94587203,893,6288,689,532,371162168,266919,13498,0.0005448148863580649,0.0066168396913172485
susan_small,3,16117,5494237,1990,101757,14458,1984000,6978143,760,4069,443,390,22437592,78251,4717,0.002933437345349318,0.019556394154701888
