benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:u,branches:u,cpu-cycles:u,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions:u,l3_cache_accesses,l3_misses
bitcount,1,115.0,2612499.0,438.0,1560975.0,3508.0,6760235.0,18114559.0,54.0,2321883.0,36.0,1560997.0,37374617.0,409.0,409.0
crc_large,1,49.0,262015277.0,348.0,157162580.0,3504.0,78615593.0,707335063.0,22.0,183400457.0,17.0,157162588.0,602559301.0,293.0,293.0
fft_large,1,68110.0,117615256.0,609.0,43887915.0,972090.0,48115976.0,234208232.0,319.0,76048122.0,62.0,43887931.0,314628987.0,8913.0,8141.0
gsm_large,1,17.0,354558520.0,137596.0,98907680.0,1808746.0,63162516.0,701012391.0,17.0,269803216.0,9.0,98907687.0,1078685248.0,205.0,205.0
qsort_large,1,266977.0,89176053.0,481.0,42157709.0,491329.0,57953991.0,220551302.0,1722.0,55518979.0,85.0,42157745.0,281811033.0,247248.0,36716.0
rijndael_large,1,12451.0,84384625.0,175.0,18963471.0,150.0,8339049.0,126929807.0,16.0,73180945.0,12.0,18963481.0,198030383.0,122.0,122.0
sha_large,1,98.0,16635387.0,401.0,9937110.0,357.0,4301213.0,53503809.0,48.0,17161817.0,44.0,9937142.0,110330833.0,279.0,279.0
susan_large,1,405.0,80245497.0,190.0,50108786.0,943.0,26933118.0,254761090.0,75.0,77926275.0,29.0,50108787.0,369821834.0,341.0,341.0
