benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:u,branches:u,cpu-cycles:u,dTLB-load-misses,dTLB-loads,iTLB-load-hits,iTLB-load-misses,instructions:u,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
basicmath_small,3,6217,18460761,163940,7072636,73614,14006270,27182305,31393,57574376,35362887,240,63255538,2069005,1245624,0.0003367683488237565,0.023179476506354914
crc_small,3,3081,9634218,244,11875,1469,7165024,11108989,388,14217223,8676733,822,31305630,114777,5324,0.00031979762135338853,0.02054736842105263
dijkstra_small,3,98006,13353147,479,33417,51196,9645174,16295337,642,15521382,8477914,531,44374511,75910,12737,0.007339543255234141,0.014334021605769518
fft_small,3,10303,11130327,1999,1010030,81360,7294784,11464715,206,19882441,11231979,242,32962174,226666,125239,0.0009256691200537055,0.0019791491341841333
gsm_small,3,2080,5943147,1000,318459,42592,1168281,6997364,413,6999665,3102072,707,19390922,88590,10201,0.0003499829299191152,0.003140121648312656
qsort_small,3,1281,16659,100,19421,706,,84204,253,305821,208910,322,0,77025,5841,0.07689537187106069,0.005149065444621801
sha_small,3,8099,1276385,664,20715,8539,642382,5397997,2273,3416397,2233231,910,11651579,125748,7809,0.006345264164025745,0.03205406710113445
susan_small,3,2316,5219133,205,47467,8356,1861621,6573545,114,5008212,3843347,401,20416974,88947,6755,0.000443751864533822,0.00431878989613837
