benchmark,ipc_hw,ipc_gem5,ipc_abs_err,ipc_pct_err,ipc_abs_pct_err,branch_mpki_hw,branch_mpki_gem5,branch_mpki_abs_err,branch_mpki_pct_err,branch_mpki_abs_pct_err,branch_miss_rate_hw,branch_miss_rate_gem5,branch_miss_rate_abs_err,branch_miss_rate_pct_err,branch_miss_rate_abs_pct_err,l1d_mpki_hw,l1d_mpki_gem5,l1d_mpki_abs_err,l1d_mpki_pct_err,l1d_mpki_abs_pct_err,l1d_miss_rate_hw,l1d_miss_rate_gem5,l1d_miss_rate_abs_err,l1d_miss_rate_pct_err,l1d_miss_rate_abs_pct_err,l1i_mpki_hw,l1i_mpki_gem5,l1i_mpki_abs_err,l1i_mpki_pct_err,l1i_mpki_abs_pct_err,l1i_miss_rate_hw,l1i_miss_rate_gem5,l1i_miss_rate_abs_err,l1i_miss_rate_pct_err,l1i_miss_rate_abs_pct_err,l3_mpki_hw,l3_mpki_gem5,l3_mpki_abs_err,l3_mpki_pct_err,l3_mpki_abs_pct_err,l3_miss_rate_hw,l3_miss_rate_gem5,l3_miss_rate_abs_err,l3_miss_rate_pct_err,l3_miss_rate_abs_pct_err,dtlb_mpki_hw,dtlb_mpki_gem5,dtlb_mpki_abs_err,dtlb_mpki_pct_err,dtlb_mpki_abs_pct_err,itlb_mpki_hw,itlb_mpki_gem5,itlb_mpki_abs_err,itlb_mpki_pct_err,itlb_mpki_abs_pct_err
basicmath_small,0.8471073217775444,2.1828181215335793,1.335710799756035,157.67905263210565,157.67905263210565,2.352964433798474,0.9730658296533615,1.3798986041451125,-58.645111006522654,58.645111006522654,0.01023428418654187,0.011103107479176273,0.0008688232926344023,8.48934108920787,8.48934108920787,3.2089779106637875,0.004765132087891568,3.204212778575896,-99.85150623592463,99.85150623592463,0.009899043243985394,2.530633663803356e-05,0.00987373690734736,-99.74435573202076,99.74435573202076,2.6558987486192347,0.009567203184216404,2.6463315454350185,-99.63977530434133,99.63977530434133,0.02086542421785584,0.00012250332952461494,0.020742920888331226,-99.41288838297483,99.41288838297483,8.89298122620826,0.010324452857098399,8.882656773351162,-99.88390335485391,99.88390335485391,0.6721822352676984,1.0,0.3278177647323016,48.769180072387265,48.769180072387265,0.005893380219382536,0.0006556673996905066,0.005237712819692029,-88.87451046287316,88.87451046287316,0.00935007438652037,0.0,0.00935007438652037,-100.0,100.0
bitcount,4.343361816950515,3.2600163377349562,1.0833454792155588,-24.94255659262986,24.94255659262986,0.47540228407362173,0.16087793293046576,0.31452435114315597,-66.15962137330584,66.15962137330584,0.002292267055457722,0.001555142182482726,0.0007371248729749959,-32.15702425334583,32.15702425334583,0.33624494720564124,0.008274484890330896,0.32797046231531035,-97.53914967076952,97.53914967076952,0.005434697425096114,0.00021119284215227459,0.005223504582943839,-96.1139907959358,96.1139907959358,0.04229902789814837,0.015066087183828299,0.027232940714320072,-64.381954072075,64.381954072075,0.018142565707381805,0.0006346406347405781,0.017507925072641227,-96.50192456250906,96.50192456250906,0.12006274294234255,0.016311708565168434,0.10375103437717412,-86.41401306898196,86.41401306898196,0.0945523310786239,1.0,0.9054476689213761,957.6153846153845,957.6153846153845,0.006580361872801466,0.00120113490343513,0.005379226969366336,-81.74667401803893,81.74667401803893,0.003671149255352397,0.0,0.003671149255352397,-100.0,100.0
crc_large,2.742347418631194,2.2991147621715253,0.4432326564596685,-16.162527528364812,16.162527528364812,0.07268808193718922,0.003321443951662645,0.06936663798552657,-95.43055221276474,95.43055221276474,0.0003339843434584776,5.090851811859683e-05,0.0002830758253398808,-84.75721418811779,84.75721418811779,1.0131336755875837,0.0009077035326244436,1.0122259720549593,-99.9104063407923,99.9104063407923,0.003281026086252364,4.6381608277512075e-06,0.0032763879254246128,-99.85863688048123,99.85863688048123,0.009388043273438493,0.000756691703905449,0.008631351569533045,-91.93983579042133,91.93983579042133,0.003749284579204676,5.80182211136493e-06,0.003743482757093311,-99.84525522166163,99.84525522166163,0.36468777207892045,0.0009419872991444316,0.36374578477977604,-99.74170033347305,99.74170033347305,0.20410570114790078,1.0,0.7958942988520992,389.9422183584042,389.9422183584042,0.011070941700930195,6.203729179807349e-05,0.011008904409132122,-99.43963852873635,99.43963852873635,0.0002978297883096639,0.0,0.0002978297883096639,-100.0,100.0
crc_small,2.6715652805367993,2.290627289024232,0.38093799151256746,-14.258981215537633,14.258981215537633,0.22476943133272334,0.015657255910280974,0.20911217542244237,-93.03408127277604,93.03408127277604,0.0009910092869983244,0.00023988847009001529,0.0007511208169083091,-75.79351947178867,75.79351947178867,1.4480320613209163,0.017656054537125352,1.430376006783791,-98.7806862148467,98.7806862148467,0.004666159540794614,9.023077188736671e-05,0.004575928768907248,-98.06627332180757,98.06627332180757,0.06510775040383882,0.014705447040355079,0.05040230336348374,-77.41367663735463,77.41367663735463,0.017065617136589457,0.00011275034956257243,0.016952866787026885,-99.33931279097531,99.33931279097531,0.1316924252024717,0.01830645726490805,0.11338596793756366,-86.09908106957357,86.09908106957357,0.036427392037040186,1.0,0.9635726079629598,2645.186915887851,2645.186915887851,0.021661557790313105,0.0011897610874073688,0.020471796702905734,-94.50749988101308,94.50749988101308,0.005784620546276795,0.0,0.005784620546276795,-100.0,100.0
dijkstra_large,2.4925205509031496,2.840982947649289,0.34846239674613955,13.980321912285792,13.980321912285792,1.3209912689184555,0.4308149681108222,0.8901763008076333,-67.38699352164936,67.38699352164936,0.005863863611615751,0.003458202860054201,0.0024056607515615495,-41.025182557045945,41.025182557045945,2.818271417219836,0.7593576230462187,2.0589137941736175,-73.05590872452915,73.05590872452915,0.009504094715764369,0.00487139809686475,0.0046326966188996194,-48.74421770245409,48.74421770245409,0.03051308891459631,0.002766941347205204,0.027746147567391105,-90.93195266152945,90.93195266152945,0.012320909901946007,5.405048186058307e-05,0.012266859420085425,-99.56131095600297,99.56131095600297,0.19616349838168645,0.005594392346138554,0.19056910603554789,-97.14809717797077,97.14809717797077,0.17468410153670622,1.0,0.8253158984632938,472.4619419872454,472.4619419872454,0.0027390655117582735,0.18703808393041302,0.18429901841865476,6728.536343051857,6728.536343051857,0.0037731510180390214,0.0,0.0037731510180390214,-100.0,100.0
dijkstra_small,2.6482354835820683,2.8031738212774138,0.15493833769534548,5.85062539399903,5.85062539399903,1.227022106067298,0.4135428781450356,0.8134792279222622,-66.29703115370326,66.29703115370326,0.005724746335512359,0.003399985724791626,0.0023247606107207335,-40.608971550399175,40.608971550399175,2.625895986838332,0.6632463986525301,1.9626495881858017,-74.74209176689052,74.74209176689052,0.008865930782939641,0.004060652615815755,0.004805278167123886,-54.199364790558626,54.199364790558626,0.059920999476185705,0.012144377480612556,0.04777662199557315,-79.73268539113893,79.73268539113893,0.021334385736837217,0.00022215287999127447,0.021112232856845943,-98.95870974336191,98.95870974336191,0.2689164042505788,0.024727708364138817,0.24418869588643996,-90.80468577844834,90.80468577844834,0.14225599871230324,1.0,0.8577440012876968,602.9580538268812,602.9580538268812,0.007780818938148162,0.17106989563553632,0.16328907669738815,2098.6104161453604,2098.6104161453604,0.007215731529232374,0.0,0.007215731529232374,-100.0,100.0
fft_large,1.9431916161129184,2.5945141390823867,0.6513225229694684,33.51818305352447,33.51818305352447,3.2447212754156727,2.3314755315916265,0.9132457438240462,-28.145583743770185,28.145583743770185,0.015451435417512253,0.02849097461502828,0.013039539197516027,84.39047146867244,84.39047146867244,1.080452922957634,0.2308686004805891,0.849584322477045,-78.63223879772485,78.63223879772485,0.0034393859839632482,0.0011669535655857671,0.002272432418377481,-66.07087512053323,66.07087512053323,0.055165641692534864,0.0019285593920891676,0.053237082300445694,-96.50405699468162,96.50405699468162,0.002578334670767465,2.539890835318822e-05,0.0025529357624142768,-99.0149103356847,99.0149103356847,1.7874006725834461,0.01575702017795511,1.771643652405491,-99.11843939528228,99.11843939528228,0.2639190089573146,0.9325296519541124,0.6686106429967977,253.33932771206204,253.33932771206204,0.0034497777049491375,0.0019827693238940593,0.0014670083810550782,-42.52472206978645,42.52472206978645,0.005082261797469711,0.0,0.005082261797469711,-100.0,100.0
fft_small,1.6871253095856587,2.6007572333427946,0.913631923757136,54.15317514153794,54.15317514153794,3.114462302628942,2.2103304742038867,0.9041318284250552,-29.03010987360067,29.03010987360067,0.013113894791690077,0.026233729206119015,0.013119834414428938,100.04529259105101,100.04529259105101,1.3364851323164018,0.08860065197920437,1.2478844803371973,-93.37062195180268,93.37062195180268,0.0036812396440250045,0.00044481584810004076,0.003236423795924964,-87.91668320691868,87.91668320691868,0.09795010010727562,0.01697870234580569,0.08097139776146993,-82.66596733723549,82.66596733723549,0.003399432456004192,0.0002261755647821139,0.003173256891222078,-93.34666690074589,93.34666690074589,2.439832223635794,0.03561820352369019,2.4042140201121036,-98.54013717916175,98.54013717916175,0.5200895443771398,1.0,0.47991045562286017,92.27458248513759,92.27458248513759,0.0074623941050447114,0.0011417991970541818,0.00632059490799053,-84.69929112585591,84.69929112585591,0.010946492015015918,0.0,0.010946492015015918,-100.0,100.0
gsm_large,2.7941448597114587,2.63792845042261,0.15621640928884872,-5.590848618527983,5.590848618527983,2.0038712950240294,1.0813623525420621,0.9225089424819672,-46.0363370029164,46.0363370029164,0.035842636715002464,0.03558268611776869,0.00025995059723377123,-0.7252552296884037,0.7252552296884037,0.1385155333644644,0.0006384593836661218,0.13787707398079826,-99.53907019078777,99.53907019078777,0.0004694940074139653,3.444284700497466e-06,0.00046604972271346786,-99.26638367133394,99.26638367133394,0.04078789891275801,0.0688958554965875,0.028107956583829488,68.91248956939438,68.91248956939438,0.002706811647691223,0.0013293655879463063,0.0013774460597449167,-50.88813848277217,50.88813848277217,0.13072397195394067,0.000861686014141074,0.1298622859397996,-99.34083550150642,99.34083550150642,0.18691837242669912,1.0,0.8130816275733008,434.99288861620835,434.99288861620835,0.0005185867870614105,0.00017431450165293467,0.0003442722854084759,-66.38662881468815,66.38662881468815,0.0002387868861337251,0.0,0.0002387868861337251,-100.0,100.0
gsm_small,2.6422973951306643,2.5916321310038817,0.05066526412678263,-1.9174701613887477,1.9174701613887477,2.4016244088705276,1.2775844366976559,1.1240399721728718,-46.803320620042435,46.803320620042435,0.03767486563026371,0.04124426645132895,0.003569400821065237,9.474223096360523,9.474223096360523,0.7655686152963564,0.03335155932201576,0.7322170559743407,-95.64355713444377,95.64355713444377,0.0025395419469044635,0.00018024738344433872,0.0023592945634601245,-92.90236636319204,92.90236636319204,0.15521209431890046,0.14599757767399296,0.009214516644907494,-5.936725926766536,5.936725926766536,0.008331632560795083,0.0027875122891483323,0.00554412027164675,-66.54302420554271,66.54302420554271,0.4891226401745691,0.04526685458655348,0.4438557855880156,-90.745295582638,90.745295582638,0.13041358159350178,1.0,0.8695864184064982,666.7913017809701,666.7913017809701,0.01819230128761066,0.002563337751945468,0.015628963535665192,-85.90976638183123,85.90976638183123,0.009240533987357795,0.0,0.009240533987357795,-100.0,100.0
