metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,16,40.30578603738679,17.439400635478652,57.495257001012995,-73.90634684369009,157.67905263210565
branch_mpki,branch_predictor,16,98.94494526759041,-27.330768265764377,161.775575754551,-99.14882931339332,572.9134160146083
branch_miss_rate,branch_predictor,16,109.18578957748434,34.8805897022419,248.05566754945042,-98.37604445409674,938.4589727636662
l1d_mpki,l1d_cache,16,90.42968046761493,-72.36998086276704,59.3873085008644,-99.9104063407923,144.47759683878303
l1d_miss_rate,l1d_cache,16,94.37394364280087,-50.49929551464909,109.75420332526419,-99.85863688048123,350.99718502521415
l1i_mpki,l1i_cache,16,1005.982225899702,868.4589358152189,3749.0869319717917,-99.63977530434133,14926.616804149973
l1i_miss_rate,l1i_cache,16,593.5044036078052,419.689170005352,2049.6093744075574,-99.84525522166163,8105.548588905258
l3_mpki,l3_cache,16,113.07858392085717,-46.607105678270756,153.78378454668373,-99.88390335485391,521.1539052269745
l3_miss_rate,l3_cache,16,1004.7118435614693,995.2373509756926,1060.8639442067363,-75.79594068621407,3134.918947648153
dtlb_mpki,dtlb,16,2141.172301799295,2029.634757206812,6238.824204901395,-99.43963852873635,24494.94911874718
itlb_mpki,itlb,16,100.0,-100.0,0.0,-100.0,-100.0
