metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,7,53.481471718946615,-53.481471718946615,16.654157330137284,-71.93633653379614,-18.30891363883633
branch_mpki,branch_predictor,7,46.22102986034252,-8.702273113448815,57.37820808670108,-90.20035143421539,67.29870866144599
branch_miss_rate,branch_predictor,7,57.31949097922192,15.358338762582155,78.03570886691439,-87.75817563375487,128.5116273117455
l1d_mpki,l1d_cache,7,68.83187771663383,-68.83187771663383,22.840158783091688,-94.36160557894992,-25.965626107816874
l1d_miss_rate,l1d_cache,8,60.48926113188992,-60.48926113188992,31.9393123739865,-95.13494687393822,-6.634832334495995
l1i_mpki,l1i_cache,7,215.4126193593042,174.91682424564553,191.27418092824496,-99.21071674648462,422.52367322606415
l1i_miss_rate,l1i_cache,8,843.0080854700178,697.8878480235722,2208.6883307693615,-99.42164334636094,6163.58373397436
l3_mpki,l3_cache,7,80.79975596827957,-80.79975596827957,18.193385698506972,-99.88589516423762,-44.948933003177
l3_miss_rate,l3_cache,8,926.6379748935065,926.6379748935065,702.1766025480464,66.10188949474319,2055.84147257701
dtlb_mpki,dtlb,7,355.34963552039045,261.7724859350838,794.883930399253,-99.60505574924147,2058.2743605278965
itlb_mpki,itlb,7,2474.867975479724,2347.5348903817144,6407.526012188794,-88.76319447220415,16878.410030515035
