metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,17,43.49074755763259,-23.10259983821477,45.10486076302066,-91.00352152072905,75.04530453302011
branch_mpki,branch_predictor,17,122.89642490282984,42.749597692657865,331.48356954610665,-98.45211658124236,1316.924145483872
branch_miss_rate,branch_predictor,16,56.13156404096342,-20.29738783244807,64.03560730612158,-98.43364786762211,98.79878302292062
l1d_mpki,l1d_cache,17,82.98546459463822,-67.02038184492878,56.0348475617784,-99.99421987160359,135.70320337253023
l1d_miss_rate,l1d_cache,17,80.67921102631053,-70.17892284378922,45.789721225700944,-99.99497323579601,89.25244955143087
l1i_mpki,l1i_cache,17,312.5865098569421,193.07668203772852,997.3544622371833,-99.97236001098882,4053.8922913890774
l1i_miss_rate,l1i_cache,16,93.78292325673817,-93.78292325673817,13.316082725502023,-99.97970750494983,-55.28685645390211
l3_mpki,l3_cache,17,135.7391660890813,-22.573735936914716,254.3928646033432,-99.99410622999059,961.906156293416
l3_miss_rate,l3_cache,17,823.2043069294076,814.6919464079083,761.2608557594776,-72.35506443274443,2366.29325865173
dtlb_mpki,dtlb,17,1104.5571422345918,1008.2597420179794,3227.629010285631,-98.94928668969496,13129.677727074451
itlb_mpki,itlb,17,100.0,-100.0,0.0,-100.0,-100.0
