component,avg_mape,max_mape,num_metrics
l1i_cache,99.05681825317083,99.05681825317083,1
l3_cache,98.93511499328096,98.93511499328096,1
itlb,93.4568323002944,93.4568323002944,1
dtlb,87.02096605470894,87.02096605470894,1
l1d_cache,74.36424684971229,74.36424684971229,1
branch_predictor,57.10610732675322,57.10610732675322,1
pipeline,53.16374697280958,53.16374697280958,1
