benchmark,ipc_hw,ipc_gem5,ipc_abs_err,ipc_pct_err,ipc_abs_pct_err,branch_mpki_hw,branch_mpki_gem5,branch_mpki_abs_err,branch_mpki_pct_err,branch_mpki_abs_pct_err,branch_miss_rate_hw,branch_miss_rate_gem5,branch_miss_rate_abs_err,branch_miss_rate_pct_err,branch_miss_rate_abs_pct_err,l1d_mpki_hw,l1d_mpki_gem5,l1d_mpki_abs_err,l1d_mpki_pct_err,l1d_mpki_abs_pct_err,l1d_miss_rate_hw,l1d_miss_rate_gem5,l1d_miss_rate_abs_err,l1d_miss_rate_pct_err,l1d_miss_rate_abs_pct_err,l1i_mpki_hw,l1i_mpki_gem5,l1i_mpki_abs_err,l1i_mpki_pct_err,l1i_mpki_abs_pct_err,l1i_miss_rate_hw,l1i_miss_rate_gem5,l1i_miss_rate_abs_err,l1i_miss_rate_pct_err,l1i_miss_rate_abs_pct_err,l3_mpki_hw,l3_mpki_gem5,l3_mpki_abs_err,l3_mpki_pct_err,l3_mpki_abs_pct_err,l3_miss_rate_hw,l3_miss_rate_gem5,l3_miss_rate_abs_err,l3_miss_rate_pct_err,l3_miss_rate_abs_pct_err,dtlb_mpki_hw,dtlb_mpki_gem5,dtlb_mpki_abs_err,dtlb_mpki_pct_err,dtlb_mpki_abs_pct_err,itlb_mpki_hw,itlb_mpki_gem5,itlb_mpki_abs_err,itlb_mpki_pct_err,itlb_mpki_abs_pct_err
crc_large,2.8396469228760948,0.7929154744190033,2.0467314484570913,-72.07696956860008,72.07696956860008,0.012937822794861241,0.00663609219014031,0.006301730604720931,-48.70781355286384,48.70781355286384,5.9375901117553846e-05,5.0856239544523264e-05,8.519661573030581e-06,-14.348685936004827,14.348685936004827,0.05805688746964432,0.0007003403565978335,0.05735654711304648,-98.79369978805009,98.79369978805009,0.00019066930122020844,1.7891507972570642e-06,0.00018888015042295138,-99.06164716301618,99.06164716301618,0.0012477274192469058,0.001668409893806494,0.00042068247455958815,33.71589564117302,33.71589564117302,0.005507655930101791,6.395739711416965e-06,0.005501260190390374,-99.8838754673025,99.8838754673025,0.2270651593389968,0.0020406187546556922,0.2250245405843411,-99.10130697259056,99.10130697259056,0.13277416693246646,1.0,0.8672258330675335,653.1585571978279,653.1585571978279,0.0019254851142566781,0.00019100191543577278,0.0017344831988209053,-90.08032240698428,90.08032240698428,0.0010435835352078178,0.0001518220353463835,0.0008917614998614343,-85.45185601110985,85.45185601110985
crc_small,2.84526644057411,0.7908466422259453,2.0544197983481647,-72.20483006623553,72.20483006623553,0.04794681838083305,0.03118622468605735,0.0167605936947757,-34.95663374710139,34.95663374710139,0.00020981772208691554,0.00023889160129550696,2.9073879208591413e-05,13.85673189062064,13.85673189062064,0.12719270154754234,0.013610264893508243,0.11358243665403409,-89.29949224451296,89.29949224451296,0.00040996584413679826,3.4768525099714344e-05,0.00037519731903708393,-91.51916541415272,91.51916541415272,0.004314891647435613,0.0324235214945581,0.028108629847122486,651.4330403598373,651.4330403598373,0.011401344337615927,0.00012428888092456334,0.011277055456691365,-98.90987521081614,98.90987521081614,0.16557591679935763,0.039656948990408634,0.12591896780894898,-76.04908385410644,76.04908385410644,0.04475546387445492,1.0,0.955244536125545,2134.3640606767794,2134.3640606767794,0.011656647584863372,0.003680164866309921,0.007976482718553451,-68.42861689420238,68.42861689420238,0.0154563282893216,0.0029504770048864024,0.012505851284435198,-80.91088032256137,80.91088032256137
dijkstra_large,2.5868881791191893,1.232752379190294,1.3541357999288954,-52.34612809549293,52.34612809549293,1.2605039431255267,0.9695405212597837,0.290963421865743,-23.083102869497925,23.083102869497925,0.005632382764966914,0.004085390656260848,0.0015469921087060655,-27.46603299634152,27.46603299634152,2.6607355742528522,0.7480782474923489,1.9126573267605034,-71.88453243038204,71.88453243038204,0.009138468512870652,0.0025939220315604997,0.006544546481310153,-71.6153529674342,71.6153529674342,0.009769495492318672,0.005639652758872961,0.00412984273344571,-42.272835242032976,42.272835242032976,0.01392533526640087,5.803053298812606e-05,0.013867304733412744,-99.58327371027008,99.58327371027008,0.22738360903542953,0.011110881498702659,0.21627272753672688,-95.11359611810391,95.11359611810391,0.179216052525042,1.0,0.820783947474958,457.9857305808414,457.9857305808414,0.007831870410291908,0.3741769252163007,0.36634505480600876,4677.618954529591,4677.618954529591,0.0027309833833290614,0.0005665171549637093,0.002164466228365352,-79.25592816045895,79.25592816045895
dijkstra_small,2.6346821843610293,1.2229630919606274,1.411719092400402,-53.58213984138569,53.58213984138569,1.210078169563738,0.91732992595241,0.2927482436113279,-24.19250681275166,24.19250681275166,0.005237300003649265,0.003958488705841511,0.0012788112978077545,-24.41737721567792,24.41737721567792,2.369822789102891,0.6631459119637182,1.706676877139173,-72.0170674780811,72.0170674780811,0.007752655062435371,0.002226056044610632,0.005526599017824738,-71.28653310790595,71.28653310790595,0.006987535866439308,0.02437536262603423,0.01738782675959492,248.84060836249228,248.84060836249228,0.009144947416552356,0.00023527753556958612,0.00890966988098277,-97.42724014854657,97.42724014854657,0.25301867372376735,0.04868270098427487,0.20433597273949247,-80.75924584229537,80.75924584229537,0.13355709648863973,1.0,0.8664429035113603,648.7434410383872,648.7434410383872,0.014743700678186939,0.31225406392848126,0.29751036325029434,2017.8811937660673,2017.8811937660673,0.013322901718677614,0.002652946443949772,0.010669955274727841,-80.08732256704589,80.08732256704589
fft_large,2.982912265213747,1.1655890658061907,1.8173231994075565,-60.924460320234466,60.924460320234466,2.8967208367616895,4.345314363439763,1.4485935266780734,50.00804731661644,50.00804731661644,0.01468870867353596,0.027790253313562392,0.013101544640026433,89.1946659928721,89.1946659928721,0.566311307344247,0.21996495340694883,0.3463463539372981,-61.158297467432085,61.158297467432085,0.001794949596305822,0.0006257763269447367,0.0011691732693610854,-65.13683012421941,65.13683012421941,0.027141975604329835,0.003970686696564161,0.023171288907765673,-85.37067914860724,85.37067914860724,0.0011667359788143346,2.7296942407856303e-05,0.0011394390364064782,-97.66040107586326,97.66040107586326,3.675890204955425,0.030021964736008003,3.645868240219417,-99.18327362728256,99.18327362728256,0.6279236626912285,0.9312947921643574,0.30337112947312894,48.313377484916806,48.313377484916806,0.17111285922049008,0.20530822159759873,0.03419536237710866,19.98409852590079,19.98409852590079,0.0006881588150024239,0.0004004571532609317,0.0002877016617414922,-41.80745134253331,41.80745134253331
fft_small,2.949505824277648,1.1657755730307058,1.7837302512469424,-60.47556294226979,60.47556294226979,2.458887920270081,4.129406918577411,1.67051899830733,67.93798873613738,67.93798873613738,0.01098850480654696,0.02548630089401361,0.014497796087466649,131.93602171269788,131.93602171269788,0.2835270014724798,0.14508064332775042,0.13844635814472936,-48.83004349699212,48.83004349699212,0.0008300284224211774,0.00041053812820631894,0.00041949029421485843,-50.53926864229699,50.53926864229699,0.03712431675530282,0.0348561330522404,0.002268183703062421,-6.109698174414037,6.109698174414037,0.0012790248071796334,0.00024166375936084862,0.0010373610478187848,-81.10562375301076,81.10562375301076,4.397799133464695,0.06999089226796794,4.327808241196728,-98.40850184049158,98.40850184049158,0.6197392954651395,1.0,0.3802607045348605,61.35817226975407,61.35817226975407,0.008358139730907476,0.004318705534050569,0.004039434196856906,-48.329345128312774,48.329345128312774,0.007117709099465378,0.0028419868675687615,0.004275722231896616,-60.071606919391684,60.071606919391684
gsm_large,2.867561871029683,1.3335164421038606,1.5340454289258223,-53.49650671617341,53.49650671617341,1.9096228853514037,1.9093626940471202,0.0002601913042834525,-0.013625271580025747,0.013625271580025747,0.03566436626870943,0.031640967508741284,0.004023398759968148,-11.2812848815377,11.2812848815377,0.022552900586557827,0.00042803923395493714,0.02212486135260289,-98.10206570852328,98.10206570852328,7.635586218616241e-05,1.3242927674154047e-06,7.503156941874701e-05,-98.26563052331639,98.26563052331639,0.030425555599394635,0.12274897645830048,0.09232342085890584,303.4403778011625,303.4403778011625,0.0020953970501791552,0.0013275934722516572,0.000767803577927498,-36.64239089493093,36.64239089493093,0.14827553452623524,0.001615710327310589,0.14665982419892465,-98.91033248844926,98.91033248844926,0.19858439710725698,1.0,0.801415602892743,403.56423493830295,403.56423493830295,0.001260801059602206,0.00035271902540492673,0.0009080820341972793,-72.02421248628926,72.02421248628926,0.00046682721448828033,0.00010012076502379431,0.00036670644946448604,-78.55292881038584,78.55292881038584
gsm_small,2.661723475776825,1.3061405223169569,1.355582953459868,-50.928767236583084,50.928767236583084,2.2270094554214737,2.2553348683286973,0.02832541290722368,1.2719035762631254,1.2719035762631254,0.0369030823154651,0.0362504767379848,0.0006526055774803002,-1.7684310809094952,1.7684310809094952,0.1102293633148839,0.023877558268952638,0.08635180504593126,-78.3382961210223,78.3382961210223,0.00035515400194905284,7.393092418121886e-05,0.000281223077767834,-79.18341796080217,79.18341796080217,0.05775412350068597,0.2694681940477426,0.2117140705470566,366.5782765182853,366.5782765182853,0.003408978725504714,0.002880373315949356,0.0005286054095553581,-15.506268947955837,15.506268947955837,0.5096474735341076,0.08456635220254059,0.42508112133156695,-83.40689268679733,83.40689268679733,0.13624804381846636,1.0,0.8637519561815337,633.9554917444365,633.9554917444365,0.02440830377811796,0.006815053089263565,0.017593250688854395,-72.07895660749168,72.07895660749168,0.025035497879482876,0.005422195523574661,0.019613302355908215,-78.34197047058423,78.34197047058423
sha_large,1.970872626883607,1.8660474310507016,0.1048251958329054,-5.318719962063587,5.318719962063587,0.09258771888912727,0.03999805968273951,0.05258965920638776,-56.79982165816535,56.79982165816535,0.0021371879743045294,0.0010164043823859845,0.001120783591918545,-52.441975408516114,52.441975408516114,0.10514706764192064,0.050120153323623934,0.055026914318296705,-52.33328475282962,52.33328475282962,0.0011415826522116232,0.0005167530463667403,0.0006248296058448829,-54.73362832155703,54.73362832155703,0.008669948310117971,0.01775937119094418,0.009089422880826209,104.83825918798966,104.83825918798966,0.01324292692855689,0.0001967935090004713,0.013046133419556419,-98.51397270360144,98.51397270360144,0.09340390998844673,0.035934263467310545,0.05746964652113619,-61.52809505324209,61.52809505324209,0.039363584034144354,1.0,0.9606364159658557,2440.4190815871602,2440.4190815871602,0.006379616143660294,0.007836727671062405,0.0014571115274021112,22.840112862434633,22.840112862434633,0.00826185276045824,0.003515308382671684,0.004746544377786556,-57.451331019887256,57.451331019887256
sha_small,1.840423891074955,1.7633024737377976,0.0771214173371575,-4.190416007483602,4.190416007483602,0.8068828048077743,0.3810740828154361,0.4258087219923382,-52.77206546665468,52.77206546665468,0.013345188778165146,0.008890676137313766,0.00445451264085138,-33.37916544230286,33.37916544230286,0.7081483163974553,0.5146121346753012,0.19353618172215414,-27.32989364526428,27.32989364526428,0.005882846968273441,0.005118186748046203,0.0007646602202272378,-12.998132100853512,12.998132100853512,0.07001172814549893,0.18234556985593078,0.11233384171043186,160.45003413853573,160.45003413853573,0.014957308088250135,0.001987984646842016,0.01296932344140812,-86.70894097311736,86.70894097311736,0.3253041565518931,0.3689575311450841,0.04365337459319102,13.419248944096218,13.419248944096218,0.027211153174371092,1.0,0.9727888468256289,3574.9636944525123,3574.9636944525123,0.024093104827398414,0.08054947025924131,0.05645636543184289,234.32581992355477,234.32581992355477,0.041383450644707866,0.03609367152506258,0.005289779119645288,-12.782353905332803,12.782353905332803
