metric,component,n_benchmarks,mape_pct,mpe_pct,std_pct,min_pct_err,max_pct_err
ipc,pipeline,7,54.19444934789179,-54.19444934789179,22.78576792652653,-72.39411248373371,-4.664724196903708
branch_mpki,branch_predictor,7,44.202768221816335,-24.0960549625172,50.70569755304872,-98.32828411417421,52.07148294348297
branch_miss_rate,branch_predictor,7,47.12371646282458,-9.563883198693825,61.53697358242186,-98.289685986427,93.57313353795432
l1d_mpki,l1d_cache,7,77.2411198464368,-77.2411198464368,16.818173411578062,-98.68584534875328,-60.22807439013164
l1d_miss_rate,l1d_cache,7,78.99178318917166,-78.99178318917166,15.515803278851797,-98.98067124895891,-63.57387596677413
l1i_mpki,l1i_cache,7,196.02651697966664,139.72892819503952,230.94187162229537,-97.18681042323422,498.9255768724503
l1i_miss_rate,l1i_cache,7,88.47079629617481,-88.47079629617481,27.185754421960752,-99.9213329787824,-26.84860712003989
l3_mpki,l3_cache,7,90.54714014449083,-90.54714014449083,11.464852562158317,-99.5967398860373,-70.85133494342185
l3_miss_rate,l3_cache,7,600.5357430955713,579.5618347930696,561.0852035741896,-73.40867905875638,1499.1354466858788
dtlb_mpki,dtlb,7,89.3915631934079,30.394016197964923,127.13394867818519,-91.46712446375885,262.7571491731537
itlb_mpki,itlb,7,64.2102627530396,-64.2102627530396,24.38892289257511,-86.91121792744688,-24.816372724557713
