component,avg_mape,max_mape,num_metrics
l3_cache,97.32123386061055,97.32123386061055,1
itlb,90.52207903325866,90.52207903325866,1
l1d_cache,82.12118091056666,82.12118091056666,1
dtlb,78.6302571837001,78.6302571837001,1
branch_predictor,63.14586857663604,63.14586857663604,1
l1i_cache,58.85144558352365,58.85144558352365,1
pipeline,56.665700831106925,56.665700831106925,1
